ID,Seller,Category,Locations,Price,Currency,Rooms,Area,Floor
2910606,Agentlik,Yeni tikili,"['8 Noyabr m.', 'Nasimi r.', '3-cu mikrorayon q.']",132000,AZN,2,70.0,7
2890763,Owner,Yeni tikili,"['Elmlar Akademiyasi m.', 'Yasamal r.']",440000,AZN,3,160.0,10
2684564,Agentlik,Yeni tikili,['Nasimi r.'],270600,AZN,3,123.0,3
2902118,Owner,Yeni tikili,"['Memar Acami m.', 'Nasimi r.', '3-cu mikrorayon q.']",340000,AZN,4,185.0,12
2684576,Agentlik,Yeni tikili,['Nasimi r.'],427900,AZN,4,194.5,3
2883683,Owner,Yeni tikili,"['Sabail r.', 'Badamdar q.']",130000,AZN,2,91.3,9
2910606,Agentlik,Yeni tikili,"['8 Noyabr m.', 'Nasimi r.', '3-cu mikrorayon q.']",132000,AZN,2,70.0,7
2890763,Owner,Yeni tikili,"['Elmlar Akademiyasi m.', 'Yasamal r.']",440000,AZN,3,160.0,10
2899919,Agentlik,Yeni tikili,"['Hazi Aslanov m.', 'Xatai r.', 'Hazi Aslanov q.']",89999,AZN,3,83.0,2
2917200,Agentlik,Yeni tikili,"['Xatai r.', 'Hazi Aslanov q.']",142500,AZN,3,130.0,9
2917199,Agentlik,Kohna tikili,"['Inshaatchilar m.', 'Yasamal r.', 'Yeni Yasamal q.']",90000,AZN,3,65.0,8
2917198,Agentlik,Kohna tikili,"['Yasamal r.', 'Yeni Yasamal q.']",105000,AZN,4,120.0,9
2917197,Agentlik,Yeni tikili,['Xatai r.'],307000,AZN,4,165.0,4
2917196,Agentlik,Yeni tikili,"['Shah Ismayil Xatai m.', 'Xatai r.']",218000,AZN,2,95.0,14
2917193,Agentlik,Kohna tikili,['Narimanov r.'],95000,AZN,2,66.0,6
2886406,Agentlik,Kohna tikili,"['Yasamal r.', 'Yeni Yasamal q.']",105000,AZN,4,100.0,9
2917188,Owner,Kohna tikili,['Narimanov r.'],95000,AZN,2,50.0,2
2876495,Agentlik,Yeni tikili,['Narimanov r.'],205000,AZN,3,104.0,11
2917186,Agentlik,Kohna tikili,"['Binaqadi r.', '8-ci mikrorayon q.']",115000,AZN,3,80.0,7
2917185,Agentlik,Kohna tikili,"['Binaqadi r.', '9-cu mikrorayon q.']",130000,AZN,5,150.0,9
2886357,Agentlik,Yeni tikili,"['Nariman Narimanov m.', 'Narimanov r.']",175000,AZN,2,102.0,9
2917183,Agentlik,Kohna tikili,"['Nasimi m.', 'Binaqadi r.', '9-cu mikrorayon q.']",144000,AZN,4,100.0,4
2620958,Agentlik,Yeni tikili,['Nasimi r.'],250000,AZN,3,180.0,3
2854463,Owner,Yeni tikili,"['Binaqadi r.', '7-ci mikrorayon q.']",95000,AZN,2,75.0,17
2917182,Agentlik,Yeni tikili,"['Xatai r.', 'Hazi Aslanov q.']",113000,AZN,2,76.0,8
2803138,Owner,Yeni tikili,"['Binaqadi r.', '7-ci mikrorayon q.']",250000,AZN,4,200.0,17
2917181,Agentlik,Kohna tikili,"['Memar Acami m.', 'Nasimi r.', '4-cu mikrorayon q.']",110000,AZN,2,63.0,5
2917180,Owner,Kohna tikili,"['Ahmadli m.', 'Xatai r.', 'Ahmadli q.']",80000,AZN,2,50.0,7
2917179,Agentlik,Kohna tikili,"['Memar Acami m.', 'Nasimi r.', '4-cu mikrorayon q.']",73000,AZN,2,57.0,5
2814373,Owner,Yeni tikili,"['Ganclik m.', 'Narimanov r.']",243000,AZN,3,140.0,13
2883683,Owner,Yeni tikili,"['Sabail r.', 'Badamdar q.']",130000,AZN,2,91.3,9
2788449,Owner,Yeni tikili,"['Memar Acami m.', 'Nasimi r.', '4-cu mikrorayon q.']",109000,AZN,3,57.0,15
2127952,Owner,Yeni tikili,['Nasimi r.'],434000,AZN,3,155.0,16
2260671,Owner,Yeni tikili,"['Inshaatchilar m.', 'Yasamal r.']",260000,AZN,3,139.0,18
2917176,Agentlik,Kohna tikili,"['Memar Acami m.', 'Nasimi r.', '4-cu mikrorayon q.']",95000,AZN,2,65.0,1
2917174,Owner,Kohna tikili,['Nizami r.'],115000,AZN,4,70.0,5
2913397,Agentlik,Kohna tikili,"['Qara Qarayev m.', 'Nizami r.']",110000,AZN,3,80.0,6
2917173,Agentlik,Kohna tikili,"['Elmlar Akademiyasi m.', 'Yasamal r.', 'Yasamal q.']",55000,AZN,2,38.0,5
2867234,Agentlik,Yeni tikili,"['Shah Ismayil Xatai m.', 'Xatai r.', 'Ag shahar q.']",225000,AZN,3,135.0,2
2916003,Owner,Yeni tikili,"['Yasamal r.', 'Yeni Yasamal q.']",87900,AZN,2,65.0,3
2917171,Agentlik,Yeni tikili,['Narimanov r.'],228000,AZN,3,116.0,14
2917170,Owner,Yeni tikili,"['Inshaatchilar m.', 'Yasamal r.', 'Yasamal q.']",115000,AZN,2,53.0,15
2910130,Agentlik,Kohna tikili,"['Ganclik m.', 'Narimanov r.']",65000,AZN,1,29.9,3
2917163,Agentlik,Yeni tikili,"['Xalqlar Dostlugu m.', 'Nizami r.', '8-ci kilometr q.']",225000,AZN,3,139.0,5
2888190,Owner,Kohna tikili,"['Memar Acami m.', 'Nasimi r.', '4-cu mikrorayon q.']",90000,AZN,2,50.0,4
2917160,Agentlik,Kohna tikili,['Yasamal r.'],77000,AZN,1,36.0,3
2917159,Agentlik,Yeni tikili,['Nasimi r.'],136000,AZN,2,90.0,2
2917157,Owner,Kohna tikili,"['Suraxani r.', 'Qarachuxur q.']",100000,AZN,4,200.0,3
2917156,Agentlik,Kohna tikili,"['Yasamal r.', 'Yeni Yasamal q.']",64000,AZN,2,48.0,1
2873116,Owner,Kohna tikili,"['Memar Acami m.', 'Nasimi r.', '4-cu mikrorayon q.']",61000,AZN,2,30.0,5
2873118,Owner,Kohna tikili,"['Memar Acami m.', 'Nasimi r.', '3-cu mikrorayon q.']",65000,AZN,2,30.0,1
2917154,Agentlik,Yeni tikili,"['Yasamal r.', 'Yeni Yasamal q.']",165000,AZN,3,118.0,3
2917147,Owner,Kohna tikili,"['Elmlar Akademiyasi m.', 'Yasamal r.', 'Yasamal q.']",85500,AZN,2,35.0,3
2876278,Owner,Kohna tikili,"['20 Yanvar m.', 'Memar Acami m.', 'Nasimi r.', '1-ci mikrorayon q.']",95500,AZN,2,55.0,4
2917150,Agentlik,Kohna tikili,"['Binaqadi r.', '9-cu mikrorayon q.']",159000,AZN,5,120.0,3
2916012,Owner,Yeni tikili,"['Ganclik m.', 'Narimanov r.']",159000,AZN,2,85.5,10
2917148,Owner,Kohna tikili,"['Inshaatchilar m.', 'Yasamal r.', 'Yasamal q.']",55000,AZN,2,30.0,5
2893211,Agentlik,Kohna tikili,['Sabail r.'],94900,AZN,2,35.0,3
2329041,Agentlik,Yeni tikili,['Xatai r.'],230000,AZN,3,106.0,4
2773939,Owner,Yeni tikili,"['Binaqadi r.', '7-ci mikrorayon q.']",99375,AZN,2,79.5,5
2916381,Owner,Yeni tikili,"['28 May m.', 'Nasimi r.']",169000,AZN,3,85.0,16
2381620,Owner,Kohna tikili,"['Nizami m.', 'Yasamal r.']",260000,AZN,3,100.0,5
2917145,Owner,Kohna tikili,"['Binaqadi r.', 'Bilacari q.']",90000,AZN,3,50.0,2
2865146,Agentlik,Yeni tikili,"['Nariman Narimanov m.', 'Narimanov r.']",195000,AZN,3,135.0,3
2917144,Owner,Yeni tikili,"['Nariman Narimanov m.', 'Narimanov r.']",184000,AZN,3,136.0,5
2866882,Agentlik,Yeni tikili,"['Memar Acami m.', '20 Yanvar m.', 'Binaqadi r.']",192000,AZN,3,104.0,10
2917143,Agentlik,Yeni tikili,"['Xalqlar Dostlugu m.', 'Nizami r.', '8-ci kilometr q.']",78000,AZN,2,65.0,17
2916052,Owner,Yeni tikili,"['Ganclik m.', 'Narimanov r.']",292200,AZN,3,157.1,17
2917142,Agentlik,Kohna tikili,['Narimanov r.'],172000,AZN,3,110.0,3
2869391,Agentlik,Yeni tikili,['Narimanov r.'],125000,AZN,2,85.0,11
2916946,Owner,Yeni tikili,"['20 Yanvar m.', 'Yasamal r.', 'Yasamal q.']",132000,AZN,2,73.0,2
2917138,Owner,Kohna tikili,"['Memar Acami m.', '20 Yanvar m.', 'Nasimi r.', '5-ci mikrorayon q.']",85000,AZN,2,50.0,1
2881074,Agentlik,Yeni tikili,['Yasamal r.'],88000,AZN,2,54.0,16
2917137,Owner,Kohna tikili,"['Suraxani r.', 'Yeni Gunashli q.']",105000,AZN,4,82.0,2
2910731,Agentlik,Yeni tikili,['Nasimi r.'],155000,AZN,2,117.0,15
2917136,Owner,Kohna tikili,"['Qara Qarayev m.', 'Nizami r.', '8-ci kilometr q.']",98000,AZN,3,64.0,1
2917135,Owner,Yeni tikili,"['Hazi Aslanov m.', 'Xatai r.', 'Hazi Aslanov q.']",138000,AZN,3,105.0,4
2888666,Owner,Yeni tikili,"['Yasamal r.', 'Yeni Yasamal q.']",197000,AZN,4,125.0,9
2917133,Agentlik,Kohna tikili,['Narimanov r.'],140000,AZN,4,120.0,5
2917131,Agentlik,Kohna tikili,['Yasamal r.'],119000,AZN,3,80.0,2
2917120,Agentlik,Yeni tikili,"['Memar Acami m.', 'Yasamal r.']",60000,AZN,2,30.0,4
2855095,Owner,Yeni tikili,"['Elmlar Akademiyasi m.', 'Yasamal r.', 'Yasamal q.']",450000,AZN,3,160.0,12
2906478,Agentlik,Yeni tikili,"['Inshaatchilar m.', 'Yasamal r.', 'Yasamal q.']",165000,AZN,3,90.0,4
2917127,Owner,Kohna tikili,"['20 Yanvar m.', 'Memar Acami m.', 'Nasimi r.', '1-ci mikrorayon q.']",67000,AZN,2,40.0,2
2917124,Agentlik,Yeni tikili,"['Nizami m.', 'Yasamal r.']",179000,AZN,2,100.0,7
2905261,Agentlik,Yeni tikili,"['Ganclik m.', 'Narimanov r.']",229000,AZN,2,104.0,4
2889590,Agentlik,Yeni tikili,"['Ichari Shahar m.', 'Sabail r.']",298000,AZN,3,120.0,1
2895985,Owner,Yeni tikili,"['Sabunchu r.', 'Nardaran q.']",344080,AZN,2,73.6,5
2916449,Agentlik,Kohna tikili,"['Memar Acami m.', 'Nasimi r.', '4-cu mikrorayon q.']",77900,AZN,2,55.0,5
2118083,Owner,Yeni tikili,"['Ichari Shahar m.', 'Sabail r.']",729980,AZN,4,214.7,5
2846683,Owner,Yeni tikili,"['Yasamal r.', 'Yeni Yasamal q.']",235000,AZN,3,161.0,4
2904745,Agentlik,Kohna tikili,['Nasimi r.'],108000,AZN,2,50.0,5
2810695,Owner,Yeni tikili,['Narimanov r.'],240000,AZN,3,115.2,17
